DESTINATION_LOC_ID,DESTINATION_DW_LOC_ID,ORIGIN_LOC_ID,ORIGIN_DW_LOC_ID,TRNSP_MODE_NM,TRNSP_MVMT_VAL,VHCL_LOAD_VAL,VHCL_UNLD_VAL,TPLN_IND,ORIGIN_CRU_ID,DESTINATION_CRU_ID,SYS_ID,DW_CRTD_DTM,DW_UPDT_DTM
01HWZ0XB577TTX7FE5MCZTZ6P8,1f52fef2-b496-487f-8d4f-873ec8ba9868,c095b173-6ce2-4488-b496-d376a93411eb,8b14a355-5a93-47c3-a6e1-c72c6016fb03,01954463-d8e4-4f13-adc0-9a7718ad5da5,01HWZ0XB58NQW64SXPP628KJ7R,01HWZ0XB59BJY168NK6NQTSK7Q,01HWZ0XB593VAH2C9Y4W5GXAGP,01HWZ0XB59PEGFR8FFYPQF32K3,01HWZ0XB595TNNJ8MEGT6PZRF4,01HWZ0XB59CT7YGFPK0KA1R794,01HWZ0XB59KYSWM3V4YP71N94A,01HWZ0XB59B3DQ1XSN8TKQZF59,01HWZ0XB5AV8F04ER349CNEEFY
01HWZ0XB5A62C1XQFRPJV78E3W,80691599-0ea7-404e-9367-7d637544598e,235b405f-e140-400e-80c1-15527239628c,0b4a4d46-e7df-4857-b9d5-e6d2de8a383c,a8d457f8-4a88-49dd-a150-3dc87343d76a,01HWZ0XB5AQXQ9XY0H8VNZC548,01HWZ0XB5BEDDHY4CJJWKS8CYY,01HWZ0XB5BGC8AZS0QCBMHAXXQ,01HWZ0XB5BR7YFSBRVDT5T52N7,01HWZ0XB5CPBCN3JCT9V36ZYAS,01HWZ0XB5CKR2BMZ7PR645FYJG,01HWZ0XB5CW06PVKNP2VRVWKK6,01HWZ0XB5CPDBW8MPFY5FWR4KK,01HWZ0XB5DB168PT3C1SS51BRG
01HWZ0XB5DZ9WZ2H6MNJRR5P71,14dfb2ee-6669-49ee-9a6b-d4f39134bb1a,f132e561-88eb-4984-bf9a-acbdd2d1b0e0,fa41078a-c98d-4cec-984e-f011c65f41fb,bb706a1a-9618-418e-9037-8ead63dbac95,01HWZ0XB5EVPK1DFCFT33RTPYC,01HWZ0XB5EA648Q8AJ0XZ68HG0,01HWZ0XB5EYM460PEERCENPZE6,01HWZ0XB5E7V76BG77K6TB7Y67,01HWZ0XB5FNCJR0GRX1E1M6ETF,01HWZ0XB5FNSDWK0BQEGB38N2G,01HWZ0XB5FAMDBTS5PJG59SCJ5,01HWZ0XB5GWVGNE7Y6GWBJF22D,01HWZ0XB5GMHYJKEFG1CBCS3WC
01HWZ0XB5G1Z9GF8TT62Z378TH,ecb5a66e-a265-485a-9a8a-6f67735b6bd5,c21ea03c-d6ef-46fb-b2f1-9567073b434c,55204974-8983-4212-8bce-cb89da0cb11d,01d19f55-905f-41e9-a21f-3df4f6d74bdb,01HWZ0XB5HAPA709A3BSS0KTPP,01HWZ0XB5HYM4XK9WPMB85WNWG,01HWZ0XB5H8Y9JHW79E5KH5YAZ,01HWZ0XB5HGAV0137YNSZH35EE,01HWZ0XB5HRPF52PD3RWQ39FDP,01HWZ0XB5JERGWNQC9Z44VCSEF,01HWZ0XB5JC6165Y1TCTAEEM8N,01HWZ0XB5JKKJ8XRJFQ182YKW5,01HWZ0XB5JRV17MTJFAD4226RJ
01HWZ0XB5JNAK8WB6BRKA4KEGC,22c7e1a6-9a98-4fa1-97af-24423b9a3589,29e705df-f253-4af4-87cd-1503e50865b6,088a5d12-9bac-4700-b35e-cd6f9b529ae4,f863cf26-dd2a-42ba-a218-efd91cc7b560,01HWZ0XB5KZ0ZX99BBMVF6C37J,01HWZ0XB5KM7KNW0J7JRS56Y17,01HWZ0XB5K0Q095G8SVTGKWBN1,01HWZ0XB5KNPKZ1381R6QZQDSF,01HWZ0XB5MJ3FBDAKEKP8BZC7H,01HWZ0XB5MXJDNYSTBB7F4HYMC,01HWZ0XB5MCG4GHBR7Y6YKB30H,01HWZ0XB5MDKJE81Q41TY9ZRW1,
01HWZ0XB5MKRF4ZY92CKJMKNVA,6c847dc5-6972-48c3-9ea6-6bdcbba98680,468b34c7-782a-4082-9a35-2475edc5341d,3c659430-71fd-4a24-94e1-fc9d04aa6202,59aea6f6-3cfc-4fc8-800e-308b997381ef,01HWZ0XB5NAW16BXG75STH3726,01HWZ0XB5N805Y16XAM33KGWV4,01HWZ0XB5N9WV0FZS455FRV2R5,01HWZ0XB5N67MZT1ZBRKCN6PT3,01HWZ0XB5NT1ZEVW433VNCPE9H,01HWZ0XB5N0SPJC2TS4X0F3YAX,01HWZ0XB5P1DPGVABMEN40AQD1,01HWZ0XB5PAXQ9XSKKZGMH34ZP,01HWZ0XB5P4DVAYQREC726CT4P
01HWZ0XB5PFZWTBP7ZT46MZNN0,47de5be3-12ab-4320-84a4-ac7d95a7d192,b72d7dab-c095-48c6-a01a-930d5a020b9f,7cd541fc-4edc-45cf-b8d6-affc251a6861,97bd78af-81d5-4f0d-85b6-d383706b2d91,01HWZ0XB5P1RNQ9TJM7DZQ0ZPN,01HWZ0XB5PZ380PMM56VEWVWW9,01HWZ0XB5QWJ2KBYBW5NDW47Q0,01HWZ0XB5QDB7N5P46QEWKYDK0,01HWZ0XB5Q95XDZ62Z6T7RD68R,01HWZ0XB5Q33E0YB2RMD7GQY05,01HWZ0XB5QB2A33TC55VK35ERV,01HWZ0XB5QZYV28NH904HN19P7,01HWZ0XB5Q1Q44M1Z2ZX4Y5YAX
01HWZ0XB5QZFDZAH1Y31Y4NJ53,f62b6f0c-e659-4115-83bf-c6deb47c530e,11ee4f2a-ebba-40d8-95f6-2bfca403e1af,acf543a9-a078-420f-9dd6-34235dd8bd9a,9dd426cb-51f7-40a9-9049-f3c65ca95cb4,01HWZ0XB5R58HV1RNH1CY4RBS1,01HWZ0XB5RB0E794T3P86BRN2K,01HWZ0XB5R03G09Q94E5WRN8S9,01HWZ0XB5RTZ8W5M876968NKFS,01HWZ0XB5R43JZ33KM7HJDWAYZ,01HWZ0XB5SG6C2E2H7CQ3EKF94,01HWZ0XB5SYAYTZMMZ1KSBDE0T,01HWZ0XB5SWT0XYDEHZ3GEK5GD,01HWZ0XB5S4D24770DHS5MG9B8
01HWZ0XB5SVQA9RD3FKMARVEXQ,e55d517e-c995-426c-961c-5cbec7992884,76d38610-8b9e-4a10-a847-b3e273a39c0c,a45e68e0-d5a0-4c59-8daa-5639a0688828,26a1d623-c699-4b48-8e2d-e48a4b6b215a,01HWZ0XB5TCNBXSYVPZ0EWA03R,01HWZ0XB5TR3J9B6E4X29GWN66,01HWZ0XB5TD3PDJMN84W32MKMQ,01HWZ0XB5T8FCA1SC2SYB0Z65B,01HWZ0XB5T1DHWPX031CPGJXS2,01HWZ0XB5T9BPS81QCVXD24Q68,01HWZ0XB5T4DBGHVN6164EB2JF,01HWZ0XB5T1KPCFT3HS9MCRVMS,01HWZ0XB5TPC44FHQAE8K7WXVJ
01HWZ0XB5V24X25NXWXB6VQVEF,503c867c-1665-4196-ad0d-9470bb140c4d,7fcf3ca1-e475-4a55-9e95-8c840cabf768,40b16a8c-12cb-42aa-8ba8-20bd887cba99,b9fe3dd6-63a2-400c-bb8d-4d49a16cc1d1,01HWZ0XB5VRWW8NZWZYRX2071P,01HWZ0XB5V66RPSK7Q485ZSCYD,01HWZ0XB5V5588B82XT46V3FBE,01HWZ0XB5V560QHSA084NMJ259,01HWZ0XB5WRNG6QC96AZ0GP7CH,01HWZ0XB5WHDST0N3Q7FXJ5FQ5,01HWZ0XB5WK0W2HGPNBYBKEEFM,01HWZ0XB5W4FRERAY660GBKZVJ,01HWZ0XB5WHP4HQW3SZPFJTVZ2
